Year,ID,Skill,Subskill,Gains,Pre,
Autonomous,ROQ-20,Confidence,Notebook,-2,3,
Autonomous,RHO-80,Confidence,Notebook,-1,5,
Autonomous,TAM-30,Confidence,Notebook,1,5,
Guided,1,Applicability,Discovery,2,5,
Guided,3,Applicability,Discovery,0,1,
Guided,4,Applicability,Discovery,0,5,
Guided,5,Applicability,Discovery,-3,4,
Guided,6,Applicability,Discovery,-1,3,
Guided,7,Applicability,Discovery,-2,3,
Guided,9,Applicability,Discovery,-2,4,
Guided,10,Applicability,Discovery,1,2,
Guided,11,Applicability,Discovery,-2,3,
Guided,12,Applicability,Discovery,0,3,
Guided,13,Applicability,Discovery,-1,4,
Guided,14,Applicability,Discovery,0,2,
Guided,15,Applicability,Discovery,-1,4,
Guided,16,Applicability,Discovery,0,3,
Guided,17,Applicability,Discovery,-1,4,
Guided,18,Applicability,Discovery,0,4,
Guided,19,Applicability,Discovery,-2,2,
Guided,21,Applicability,Discovery,-1,4,
Guided,22,Applicability,Discovery,-1,4,
Guided,24,Applicability,Discovery,-4,5,
Guided,25,Applicability,Discovery,-1,5,
Guided,26,Applicability,Discovery,0,4,
Guided,27,Applicability,Discovery,0,3,
Guided,28,Applicability,Discovery,-2,3,
Autonomous,ALI-22,Applicability,Discovery,-2,4,
Autonomous,AND-71,Applicability,Discovery,-1,3,
Autonomous,BUF-12,Applicability,Discovery,-1,2,
Autonomous,CAR-24,Applicability,Discovery,2,1,
Autonomous,CON-11,Applicability,Discovery,1,4,
Autonomous,CON-68,Applicability,Discovery,1,2,
Autonomous,DON-64,Applicability,Discovery,3,1,
Autonomous,HUI-14,Applicability,Discovery,0,2,
Autonomous,IDA-HA,Applicability,Discovery,1,4,
Autonomous,JUD-32,Applicability,Discovery,1,4,
Autonomous,LAD-11,Applicability,Discovery,1,2,
Autonomous,16-Mar,Applicability,Discovery,3,5,
Autonomous,PAT-22,Applicability,Discovery,2,4,
Autonomous,ROQ-20,Applicability,Discovery,0,1,
Autonomous,RHO-80,Applicability,Discovery,1,3,
Autonomous,TAM-30,Applicability,Discovery,0,3,
Guided,1,Applicability,Skills,0,3,
Guided,3,Applicability,Skills,2,2,
Guided,4,Applicability,Skills,0,5,
Guided,5,Applicability,Skills,0,5,
Guided,6,Applicability,Skills,1,4,
Guided,7,Applicability,Skills,1,2,
Guided,9,Applicability,Skills,1,5,
Guided,10,Applicability,Skills,2,4,
Guided,11,Applicability,Skills,1,4,
Guided,12,Applicability,Skills,2,5,
Guided,13,Applicability,Skills,0,4,
Guided,14,Applicability,Skills,2,4,
Guided,15,Applicability,Skills,0,5,
Guided,16,Applicability,Skills,2,5,
Guided,17,Applicability,Skills,0,4,
Guided,18,Applicability,Skills,1,4,
Guided,19,Applicability,Skills,3,3,
Guided,21,Applicability,Skills,1,5,
Guided,22,Applicability,Skills,1,5,
Guided,24,Applicability,Skills,-4,3,
Guided,25,Applicability,Skills,-2,3,
Guided,26,Applicability,Skills,1,5,
Guided,27,Applicability,Skills,2,5,
Guided,28,Applicability,Skills,0,4,
Autonomous,ALI-22,Applicability,Skills,0,5,
Autonomous,AND-71,Applicability,Skills,0,4,
Autonomous,BUF-12,Applicability,Skills,0,5,
Autonomous,CAR-24,Applicability,Skills,1,3,
Autonomous,CON-11,Applicability,Skills,0,4,
Autonomous,CON-68,Applicability,Skills,-1,4,
Autonomous,DON-64,Applicability,Skills,0,5,
Autonomous,HUI-14,Applicability,Skills,0,4,
Autonomous,IDA-HA,Applicability,Skills,-2,4,
Autonomous,JUD-32,Applicability,Skills,1,4,
Autonomous,LAD-11,Applicability,Skills,1,4,
Autonomous,16-Mar,Applicability,Skills,1,4,
Autonomous,PAT-22,Applicability,Skills,0,4,
Autonomous,ROQ-20,Applicability,Skills,-1,3,
Autonomous,RHO-80,Applicability,Skills,0,2,
Autonomous,TAM-30,Applicability,Skills,0,5,
Guided,1,Applicability,Everyday,0,5,
Guided,3,Applicability,Everyday,2,3,
Guided,4,Applicability,Everyday,-2,5,
Guided,5,Applicability,Everyday,-4,5,
Guided,6,Applicability,Everyday,1,3,
Guided,7,Applicability,Everyday,-2,5,
Guided,9,Applicability,Everyday,-1,4,
Guided,10,Applicability,Everyday,0,4,
Guided,11,Applicability,Everyday,-4,5,
Guided,12,Applicability,Everyday,0,4,
Guided,13,Applicability,Everyday,-2,4,
Guided,14,Applicability,Everyday,-1,3,
Guided,15,Applicability,Everyday,-1,3,
Guided,16,Applicability,Everyday,1,2,
Guided,17,Applicability,Everyday,-1,3,
Guided,18,Applicability,Everyday,-2,4,
Guided,19,Applicability,Everyday,1,2,
Guided,21,Applicability,Everyday,-4,5,
Guided,22,Applicability,Everyday,-1,4,
Guided,24,Applicability,Everyday,0,4,
Guided,25,Applicability,Everyday,-3,5,
Guided,26,Applicability,Everyday,2,3,
Guided,27,Applicability,Everyday,0,4,
Guided,28,Applicability,Everyday,-3,4,
Autonomous,ALI-22,Applicability,Everyday,-1,3,
Autonomous,AND-71,Applicability,Everyday,-1,2,
Autonomous,BUF-12,Applicability,Everyday,0,4,
Autonomous,CAR-24,Applicability,Everyday,1,2,
Autonomous,CON-11,Applicability,Everyday,0,4,
Autonomous,CON-68,Applicability,Everyday,0,3,
Autonomous,DON-64,Applicability,Everyday,1,3,
Autonomous,HUI-14,Applicability,Everyday,0,2,
Autonomous,IDA-HA,Applicability,Everyday,0,2,
Autonomous,JUD-32,Applicability,Everyday,-1,3,
Autonomous,LAD-11,Applicability,Everyday,1,3,
Autonomous,16-Mar,Applicability,Everyday,1,3,
Autonomous,PAT-22,Applicability,Everyday,-1,2,
Autonomous,ROQ-20,Applicability,Everyday,1,1,
Autonomous,RHO-80,Applicability,Everyday,-1,4,
Autonomous,TAM-30,Applicability,Everyday,1,2,
